Topic,Words,Frequency,Timestamp
0,"barsa, madrid, #chiringuitothebest, win, play",43,2023-02-28
1,"negreira, vase, mandril, simple, egreira",4,2023-02-28
2,"laugh, vinicius, massss, provocation, madrid",1,2023-02-28
3,"arbitration, document, case, negreira, revulsive",6,2023-02-28
4,"euros, collection, cash, bara, month",3,2023-02-28
5,"estrada, fernndez, @rsierraplus, lawsuit, job",1,2023-02-28
8,"imaginary, title, bastards, negreira, egreira",2,2023-02-28
9,"villar, case, ngel, @rojasruin, negreira",2,2023-02-28
12,"boy, singing, negreira, loud, idea",1,2023-02-28
13,"estrada, fernndez, @pedropparrado, goles, payer",1,2023-02-28
14,"investigation, uefa, court, case, high",3,2023-02-28
16,"referee, gulf, lima, convened, prez",2,2023-02-28
17,"case, negreira, bara, partner, happy",6,2023-02-28
18,"time, thing, negreira, egreira, club",1,2023-02-28
20,"uefa, sanctioning, fifa, year, case",3,2023-02-28
22,"martinez, carlos, surprise, goal, egreira",1,2023-02-28
24,"blah, madrid, negreira, aberrant, derision",3,2023-02-28
26,"cta, jewel, archive, pte, appointment",2,2023-02-28
28,"espai, investors, participate, suspense, caso",1,2023-02-28
33,"cup, benzem, robbed, prize, international",1,2023-02-28
35,"cantacerca, bleed, medina, prick, resign",1,2023-02-28
37,"spain, #mediador, farlopa, arguing, accurate",2,2023-02-28
39,"tough, shadow, var, fact, cta",1,2023-02-28
41,"gonzlez, var, dangerous, son, referee",1,2023-02-28
42,"#footballleaks, plague, document, major, payment",1,2023-02-28
47,"innings, ankle, negreira, withdrew, clamorous",2,2023-02-28
51,"kyojin, gameplay, calendar, shingeki, genshin",1,2023-02-28
0,"barsa, madrid, play, bar, win",247,2023-03-01
1,"negreira, egreira, pollo, buffoons, @aviajarblog",9,2023-03-01
2,"vinicius, referee, yellow, insult, thrown",1,2023-03-01
3,"case, arbitration, negreira, @10delbarca, rfef",4,2023-03-01
4,"cash, month, euros, collection, withdrew",42,2023-03-01
5,"estrada, fernndez, denounce, referee, sports",1,2023-03-01
6,"referee, negreira, @fcbarcelona_es, jordan, flavor",5,2023-03-01
7,"gavi, persuasive, dwarf, wn, sister",1,2023-03-01
8,"egreira, negreira, case, #negreira, fault",19,2023-03-01
9,"case, negreira, forgotten, civil, talk",19,2023-03-01
10,"negreira, #realmadridbarcelona, #copadelrey, @realmadrid, tomorrow",5,2023-03-01
11,"withdrew, cash, euros, month, collection",23,2023-03-01
12,"boy, eliminated, europe, negreira, egreira",1,2023-03-01
13,"estrada, fernndez, lawsuit, file, assumptions",2,2023-03-01
14,"uefa, case, criminals, negreira, spanish",5,2023-03-01
15,"negreira, levers, play, beat, enthusiasm",6,2023-03-01
16,"referee, gulf, lima, prez, negreira",11,2023-03-01
17,"bara, negreira, case, scandal, barcelona",17,2023-03-01
18,"malejo, ivn, infamous, catalan, negreira",1,2023-03-01
19,"paid, @ctarfef, negreira, pay, payment",1,2023-03-01
20,"uefa, sanctioning, fifa, case, negreira",7,2023-03-01
21,"cooler, interior, democracy, kitchen, play",1,2023-03-01
22,"goal, failed, negreira, offside, penalty",2,2023-03-01
23,"riffraff, mental, arbitration, retarded, solution",1,2023-03-01
24,"madrid, negreira, santiago, real, shout",4,2023-03-01
25,"bernabu, bernabeu, egreira, tra, atmosphere",3,2023-03-01
26,"cta, president, negreira, appointment, nicole",4,2023-03-01
27,"#barcagate, negreira, #baragate, bara, march",8,2023-03-01
28,"espai, investors, bara, case, reputation",21,2023-03-01
30,"banknotes, jules, verne, travel, pocket",1,2023-03-01
33,"cup, vini, shame, happened, negreira",1,2023-03-01
35,"harshly, #deportesentuits1572, lima, gulf, prez",1,2023-03-01
36,"enrquez, negreira, enriquez, ternurica, @jorgecalabres",6,2023-03-01
37,"wild, shout, pedredol, maje, #psoeputeroycocainmano",2,2023-03-01
38,"#golazo, thing, negreira, gun, spaghetti",5,2023-03-01
39,"president, vote, previous, clown, fat",1,2023-03-01
40,"referee, advised, negreira, biggest, stadium",2,2023-03-01
41,"pel, youth, gonzlez, player, barsa",1,2023-03-01
42,"irregular, enrquez, negreira, payment, bara",2,2023-03-01
43,"slave, girl, #corruptos, #mafiosos, #ladrones",3,2023-03-01
44,"awards, negreira, today, egreira, hijoooooossss",1,2023-03-01
46,slave,2,2023-03-01
47,"remember, negreira, tito, berni, smokescreen",3,2023-03-01
49,"league, negreira, @liga, discarded, egreira",4,2023-03-01
50,"ancelotti, corruption, case, classic, negreira",13,2023-03-01
51,"@alfonsotrallero, podcast, preview, answer, video",4,2023-03-01
52,"pelopincho, create, parents, egreira, god",1,2023-03-01
54,"boy, negreira, egreira, bod, gangz",1,2023-03-01
0,"barsa, madrid, play, goal, win",3737,2023-03-02
1,"negreira, egreira, thing, today, alive",268,2023-03-02
2,"yellow, vinicius, negreira, gavi, card",197,2023-03-02
3,"arbitration, case, negreira, investigation, rfef",130,2023-03-02
4,"cash, month, euros, withdrew, collection",77,2023-03-02
5,"estrada, fernndez, var, referee, lawsuit",108,2023-03-02
6,"referee, negreira, egreira, match, today",108,2023-03-02
7,"gavi, negreira, card, thing, son",91,2023-03-02
8,"egreira, negreira, fault, case, worse",61,2023-03-02
9,"case, negreira, nieto, civil, pez",63,2023-03-02
10,"#realmadridbarcelona, negreira, @realmadrid, #realmadridbara, #copadelrey",57,2023-03-02
11,"withdrew, cash, euros, month, collection",41,2023-03-02
12,"boy, negreira, egreira, fucking, unpresentable",60,2023-03-02
13,"estrada, fernndez, cta, negreira, lawsuit",55,2023-03-02
14,"uefa, case, federation, negreira, rfef",43,2023-03-02
15,"negreira, beat, today, game, team",45,2023-03-02
16,"referee, cantalejo, medina, negreira, dishonest",37,2023-03-02
