topic,text_id,doc
0,1081074,"👔 Roberto Rodríguez, abogado de Goles

🗣️ ""¿Por qué Estrada Fernández se querella contra Negreira y su hijo, y no están los pagadores? A mí esto no me huele bien""

🎙️ Con @pedropparrado🔛 

📻 https://t.co/ilgsizI4uT https://t.co/sJn2xXb4LG"
0,1088654,"Las designaciones para el VAR de esta próxima jornada han dejado la ausencia de Estrada Fernández, árbitro que se ha querellado contra Negreira después de la investigación a la que está siendo sometido el ex vicepresidente del Comité Técnico de Árbitros. https://t.co/hiuZLYwMmP"
0,1086261,"Las amarillas para ellos mejor las dejamos para la temporada que viene, que aún es larga la sombra de Negreira 🤡🤡🤡🤡"
0,1086607,¿Soy yo el único que ve la sombra de Negreira sobrevolando por el Bernabeu.?
0,1086931,FC Negreira
0,1087283,Los Negreira Boys van con todo
0,1081261,Negreira/Tito Berni y ni blas pisa la trena
0,1086219,"Cuantos golpes puede dar Gaviagresion para q le saquen una amarilla??? 
Se lo preguntaremos a Negreira, lo mismo lo dice en uno de sus informes"
0,1087023,Negreira todavía da efecto
0,1088134,La Federación desvela que un árbitro no colabora en la investigación sobre el caso Negreira https://t.co/HEn0jHeRRp vía @eldebate_com
1,1084746,"bueno, vamos perdiendo pero estamos viviendo en vivo al barsa autobús de javi"
1,1080848,Pero el Barsa paga a los árbitros 🤔🤔😂😂😂 https://t.co/2RijllYBBS
1,1081229,Mañana estaré en el Bernabéu viendo un Madrid barsa cuando mi plan era ver por la tarde Ataque a los titanes pa recordar y luego ver el partido en Arabe en el ordena con cortes. Las vueltas que da la vida.
1,1081948,Parece que el Barsa no solo compra árbitros. Os presento a una prostituta intelectual. https://t.co/L6PnmN1ayc
1,1083316,"Ancelotti fuera ya por Dios, no es capaz de gestionar un partido que era para ganarle 3-0 al Barsa"
1,1083553,"Después de ver el partido del Barsa, feliz de ser del Madrid, nos vemos en la vuelta.🥱"
1,1084049,YA QUE NOS GANE EL Barsa
1,1084812,Xavi vende que el barsa juega bien y estan mas muertos que la reina Isabel
1,1084903,Nuestras stats contra el Barsa desde que esta Ancelotti son tetricas.
1,1087186,Increible gol del Barsa sin hacer absolutamente nada
