Topic,Words,Frequency,Timestamp
0,"piqu, clara, gerard, photo, rip",1811,2023-01-12
1,"piqu, shakira, song, session, children",2353,2023-01-12
2,"miley, shakira, song, cyrus, exes",26,2023-01-12
3,"shakira, queen, quee, goddess, love",752,2023-01-12
4,"pike, cup, league, european, rip",28,2023-01-12
5,"shakira, views, hours, spotify, session",73,2023-01-12
6,"lighthouse, throes, spike, energy, awake",7,2023-01-12
7,"gelato, rakuten, piqu, #rakutenichiba, rba",11,2023-01-12
8,"@shakira, #shakira, shakira, love, @bizarrap",254,2023-01-12
9,"shakira, bizarrap, session, bzrp, song",608,2023-01-12
10,"jam, shakira, jelly, eat, strawberry",22,2023-01-12
11,"stings, stung, bite, rip, @rmaxdd",27,2023-01-12
13,"shakira, mom, song, listen, session",61,2023-01-12
14,"twingo, piqu, casio, league, kings",54,2023-01-12
15,"shakira, song, feminist, criticize, feminism",231,2023-01-12
16,", pick, chop, click, pic",40,2023-01-12
17,"women, shakira, money, @shakira, toll",500,2023-01-12
18,"shakira, session, sessio, listen, ibiza",435,2023-01-12
19,"shakira, song, good, love, listen",184,2023-01-12
20,"twingo, shakira, ferrari, traded, renault",255,2023-01-12
21,"shakira, reini, @youtube, #nowplaying, feat",21,2023-01-12
22,"spike, peak, arg, partly, contemporary",4,2023-01-12
23,"shakira, song, concert, album, release",60,2023-01-12
24,"song, shakira, bad, horrible, listen",119,2023-01-12
25,"shakira, song, guys, humiliated, @shakira",58,2023-01-12
26,"rolex, casio, shakira, watch, traded",68,2023-01-12
27,"shakira, song, head, listen, stuck",10,2023-01-12
28,"scam, government, @alferdez, blindfold, @afdlp",7,2023-01-12
29,"shakira, song, exes, dedicated, throw",212,2023-01-12
30,"cheated, shakira, unfaithful, tamara, song",31,2023-01-12
31,"karol, shakira, @karolg, arol, song",17,2023-01-12
32,"shakira, listen, song, session, singing",29,2023-01-12
33,"jornal, cosmetic, brother, cancer, appeal",3,2023-01-12
34,"tiktok, shakira, song, tikto, dance",11,2023-01-12
35,"shakira, billing, failed, invoice, crying",76,2023-01-12
36,"clara, shakira, chia, cha, song",60,2023-01-12
37,"casio, shakira, #casio, song, #shakira",61,2023-01-12
38,"booed, bac, piqu, pico, grab",3,2023-01-12
40,"wolf, shakira, newbies, guys, @shakira",90,2023-01-12
41,"itch, itchy, hahahahajjaa, ingrown, catatonic",11,2023-01-12
43,"children, shakira, song, father, worry",75,2023-01-12
44,"addicted, shakira, song, obsessed, tremendaaaaaaaaa",10,2023-01-12
45,"plagiarism, shakira, accused, song, briella",47,2023-01-12
46,"law, mother, shakira, neighbor, treasury",50,2023-01-12
47,"paquita, barrio, shakira, neighborhood, del",15,2023-01-12
48,"shakira, session, bzrp, #53, music",48,2023-01-12
49,"betrayed, shakira, chauuuu, aquariums, cheated",6,2023-01-12
53,"shakira, fault, champion, needed, worst",82,2023-01-12
54,"#yiayask, #thecirclenetflix, #ny03, #pete, #rashada",1,2023-01-12
55,"neighbor, shakira, song, play, volume",8,2023-01-12
56,"shakira, jahsjahs, continue, husband, tax",8,2023-01-12
57,"lia, lexie, stefan, friendship, enemy",2,2023-01-12
58,"january, shakira, day, undedicated, henceforth",8,2023-01-12
59,"esse, piqu, doeu, hein, essa",2,2023-01-12
60,"shakira, universe, colombia, live, ong",18,2023-01-12
