labels,text_id,content,content_translation
0,1451202,@kizzmath @MobilePunch @FIDE_chess I will hardly call it community..more like chess enthusiasts...not coordinated enough to be called a community,@kizzmath @MobilePunch @FIDE_chess I will hardly call it community..more like chess enthusiasts...not coordinated enough to be called a community
0,1446323,"@Golden_Phoenix @FIDE_chess If only Alizera could also step up, we could have 10 years of fun games","@Golden_Phoenix @FIDE_chess If only Alizera could also step up, we could have 10 years of fun games"
0,1457372,"@fangu2017 @USChess @serbiachess1 @FIDE_chess They could, but the Chief Arbiters and Serbian federation are stating there is nothing wrong and these events fully comply with the Laws of Chess for hybrid events, so why should they? Probably the only way to stop these is by getting @FIDE_chess to stop rating hybrid events.","@fangu2017 @USChess @serbiachess1 @FIDE_chess They could, but the Chief Arbiters and Serbian federation are stating there is nothing wrong and these events fully comply with the Laws of Chess for hybrid events, so why should they? Probably the only way to stop these is by getting @FIDE_chess to stop rating hybrid events."
0,1351017,@SusanPolgar @FIDE_chess @ECUonline @EuropeEchecs @WOMChess @lichess @chesscom @OnTheQueenside Great pic,@SusanPolgar @FIDE_chess @ECUonline @EuropeEchecs @WOMChess @lichess @chesscom @OnTheQueenside Great pic
0,1511335,@teslatoro7 @PHChess @EmilSutovsky @FIDE_chess ruZZia is not good for chess #cancelrussia #RussiaIsATerroristState #RussiaIsANaziState,@teslatoro7 @PHChess @EmilSutovsky @FIDE_chess ruZZia is not good for chess #cancelrussia #RussiaIsATerroristState #RussiaIsANaziState
0,1534821,@SusanPolgar @ECUonline @WOMChess @FIDE_chess @lichess @chesscom @EuropeEchecs @chessdom @OnTheQueenside Chess Master (Mistress 😉) Susan. I’m trying to figure out one thing. What drives you? I’m asking for a friend 🇿🇼,@SusanPolgar @ECUonline @WOMChess @FIDE_chess @lichess @chesscom @EuropeEchecs @chessdom @OnTheQueenside Chess Master (Mistress 😉) Susan. I’m trying to figure out one thing. What drives you? I’m asking for a friend 🇿🇼
0,1503402,@PHChess @FilipZielinski_ @FIDE_chess @przeglad Peter should Polish players be renouncing the paramiltary groups participating in the war? Or the polish paramilitary groups conscripted by ukraine who were caught murdering citizens?,@PHChess @FilipZielinski_ @FIDE_chess @przeglad Peter should Polish players be renouncing the paramiltary groups participating in the war? Or the polish paramilitary groups conscripted by ukraine who were caught murdering citizens?
0,1502966,@PHChess @FIDE_chess if you ever have guests on the @chicken_chess again would be cool to have one of the Muzychuk sisters on  to talk about these issues,@PHChess @FIDE_chess if you ever have guests on the @chicken_chess again would be cool to have one of the Muzychuk sisters on  to talk about these issues
0,1425865,@keti_chess @FIDE_chess @LennartOotes Eyes…,@keti_chess @FIDE_chess @LennartOotes Eyes…
0,1484473,"@ThincDexter @FIDE_chess I KNEW IT!

@FIDE_chess's screwing @HansMokeNiemann as they did @GMWesleySo123 &amp; @lachesisq in 2022 WFRCC to favour @MagnusCarlsen, racist against Jews &amp; Americans &amp; @GMHikaru, US traitor.

#chessdrama #saynoto2900 #fischerrandom #chess960 #chess9LX #9LX

https://t.co/g6GN2uLMqp","@ThincDexter @FIDE_chess I KNEW IT!

@FIDE_chess's screwing @HansMokeNiemann as they did @GMWesleySo123 &amp; @lachesisq in 2022 WFRCC to favour @MagnusCarlsen, racist against Jews &amp; Americans &amp; @GMHikaru, US traitor.

#chessdrama #saynoto2900 #fischerrandom #chess960 #chess9LX #9LX

https://t.co/g6GN2uLMqp"
