topic,text_id,doc
0,1086554,las chorizadas de los Negreira boys se acabará algun dia?
0,1085575,La sombra de Negreira planea por el Bernabéu https://t.co/lrziW1y7b2
0,1087981,Pvta FC. Negreira!!!
0,1086665,Q partidazo se está haciendo Negreira y solo llevamos 30 min
0,1086779,Nada que hacer contra el Negreira FC
0,1086984,"A Negreira ya no le pagan

La pregunta es a quien le pagan ahora? 🤔"
0,1087386,Negreira sigue en activo por lo visto
0,1088370,Espagne : la Fédération a transmis des informations à l'UEFA sur l'affaire Negreira
0,1088170,La UEFA pide información por el 'caso Negreira' a la Federación Española https://t.co/gPlMMDFPoX vía @TheObjective_es
0,1089439,"🚨Andreu Camps, secretario general de la @rfef:

▪️ “Hay un árbitro que no ha colaborado en la investigación interna sobre el 'Caso Enríquez Negreira"" 

▪️ “No ha respondido en ninguno de los dos plazos a la información solicitada por el @CTARFEF"" https://t.co/JgPQ5kPO8d"
1,1082846,"El madrid también juega y el barsa no ha renunciado a su juego el Madrid le ha hecho jugar así, tapate un poquito Albert que ya se te ve las cosas https://t.co/lswzvne7Te"
1,1082018,puto barsa de mierda
1,1084707,"En el Barsa esta defendiendo hasta mi abuela, a puro centro no se conseguirá el empate.. #RealMadridBarça"
1,1084863,El Madrid juega ran mal que hasta el pendejo del Barsa se puso de su defensa
1,1086121,El Barsa con menos pólvora de los últimos 20 años y nos va ganando fácil.
1,1087209,gol del barsa jajajaja
1,1087702,⚽ Real Madrid 🇪🇦 (0) - Barsa (0) minuto 9:19  #CopaDelRey
1,1088267,Ace para barsa. Ai🥸
1,1090061,"El Barsa sin Dembele, Lewandowski y Pedri es un equipo de media tabla, por lo que hoy haremos un ridículo histórico."
1,1083691,Le juegan mejor al Big Six que a este Barsa de mierda https://t.co/O0xzh49OUx
