Topic,Words,Frequency,Timestamp
0,"miley, shakira, song, cyrus, liam",35,2023-01-12
1,"photo, piqu, uploaded, comment, deactivate",16,2023-01-12
2,"pike, cup, league, european, rip",27,2023-01-12
3,"@shakira, #shakira, shakira, #shakiraxbizarrap, @bizarrap",239,2023-01-12
4,"shakira, piqu, cheated, session, kill",399,2023-01-12
5,"shakira, mom, song, listen, dad",68,2023-01-12
6,"jam, shakira, jelly, strawberry, eat",22,2023-01-12
8,"shakira, song, good, love, listen",197,2023-01-12
9,"stings, stung, bite, ameeeeiiii, ovibe",25,2023-01-12
10,"shakira, song, criticize, feminist, men",230,2023-01-12
11,"piqu, session, listen, hahahahaha, reaction",131,2023-01-12
12,"shakira, piqu, gossip, cringe, talk",52,2023-01-12
13,"song, piqu, shakira, dedicated, listen",232,2023-01-12
14,"spike, energy, awake, closet, pack",2,2023-01-12
15,"session, shakira, sessio, listen, ibiza",398,2023-01-12
16,"shakira, internet, nooo, oooo, bug",84,2023-01-12
17,"song, shakira, bad, horrible, listen",104,2023-01-12
18,"rolex, casio, shakira, watch, traded",76,2023-01-12
19,"shakira, song, exes, dedicated, throw",230,2023-01-12
20,"clara, shakira, chia, cha, song",77,2023-01-12
21,"shakira, song, listen, head, sillaaaa",10,2023-01-12
22,"government, blindfold, #cambiasteunferrariporuntwingo, #sireinasi, interim",9,2023-01-12
23,", click, hhahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha, ascendant, dive",16,2023-01-12
24,"karol, shakira, @karolg, arol, karolg",18,2023-01-12
25,"piqu, mother, shakira, mom, montserrat",7,2023-01-12
26,"casio, shakira, #casio, song, #shakira",77,2023-01-12
27,"tiktok, shakira, song, tok, tik",13,2023-01-12
28,"piqu, clara, unfaithful, cheated, viogn",6,2023-01-12
29,"shakira, billing, invoice, failed, crying",90,2023-01-12
30,"children, shakira, song, father, mother",95,2023-01-12
31,"shakira, @youtube, reini, official, featuring",23,2023-01-12
32,"cheated, shakira, unfaithful, unwe, plss",22,2023-01-12
33,"league, kings, piqu, kingsleague, #kingsleague",19,2023-01-12
34,"shakira, listen, song, session, singing",23,2023-01-12
35,"wolf, shakira, newbies, guys, @shakira",90,2023-01-12
36,"shakira, colombia, universe, colombian, live",28,2023-01-12
37,"plagiarism, shakira, accused, briella, song",48,2023-01-12
38,"law, mother, neighbor, shakira, treasury",61,2023-01-12
39,"views, shakira, hours, youtube, session",61,2023-01-12
40,"gelato, rakuten, #rakutenichiba, piqu, rba",8,2023-01-12
41,"bzrp, shakira, session, song, listen",157,2023-01-12
43,"addicted, shakira, song, idolaaaaaaa, tremendaaaaaaaaa",7,2023-01-12
44,"bizarrap, shakira, session, song, biza",211,2023-01-12
45,"itch, itchy, ingrown, hahahahajjaa, toenail",12,2023-01-12
46,"women, shakira, @shakira, billing, #shakira",260,2023-01-12
47,"concert, shakira, tour, tickets, argentina",14,2023-01-12
48,"paquita, barrio, neighborhood, shakira, del",13,2023-01-12
49,"theme, shakira, song, good, burn",95,2023-01-12
50,"neighbor, shakira, song, play, listen",14,2023-01-12
51,"shakira, great, looked, girl, needed",97,2023-01-12
52,"daviplata, bancolombia, nequ, paypal, payment",3,2023-01-12
55,"piqu, unfaithful, cheated, children, wife",20,2023-01-12
57,"shakira, album, song, release, wait",36,2023-01-12
58,"piqu, tiradera, busca, pecao, vayn",17,2023-01-12
59,"shakira, song, miley, start, january",43,2023-01-12
61,"ferrari, twingo, traded, shakira, swapped",84,2023-01-12
63,"children, shakira, piqu, psychologist, worry",64,2023-01-12
64,"peak, partly, contemporary, qualify, peas",2,2023-01-12
65,"photo, instagram, shaki, piqu, video",1,2023-01-12
67,"shakira, play, song, stadium, jajdjjajahdj",10,2023-01-12
68,"horns, shakira, monetize, certificate, capital",19,2023-01-12
70,"esse, piqu, @lusuaarezz, nesse, unfaithful",1,2023-01-12
71,"#shakira, #pique, piqu, #shakiraxbizarrap, shakira",52,2023-01-12
72,"shakira, market, advertising, brand, commercial",14,2023-01-12
73,"twingo, piqu, league, kings, arrived",37,2023-01-12
74,"twingo, shakira, listen, song, #twingo",97,2023-01-12
75,"defend, piqu, people, support, thing",24,2023-01-12
76,"january, shakira, day, undedicated, henceforth",10,2023-01-12
77,"treasury, debt, shakira, tax, pay",57,2023-01-12
78,"aquarius, shakira, aquarian, zodiac, moon",22,2023-01-12
79,"shakira, year, younger, age, older",36,2023-01-12
80,"jam, jelly, piqu, shakira, jar",6,2023-01-12
81,"birthday, piqu, song, shakira, #premium",4,2023-01-12
82,"piqu, kabio, doeu, titua, hein",10,2023-01-12
83,"shakira, polygraph, depaul, discoteka, song",13,2023-01-12
84,"shakira, spanish, english, song, understand",15,2023-01-12
85,"madree, betrayed, temon, shakira, monetize",2,2023-01-12
86,"piqu, day, sleep, bad, today",54,2023-01-12
88,"piqu, idiot, punk, wrong, dumb",9,2023-01-12
89,"women, money, shakira, @shakira, monetize",82,2023-01-12
90,"gym, brain, work, bit, lot",44,2023-01-12
91,"witch, law, shakira, guada, bardiar",4,2023-01-12
92,"piqu, shakira, famous, madman, amused",3,2023-01-12
93,"caro, impersonator, shakira, guys, parody",1,2023-01-12
96,"casio, piqu, hurt, golden, opportunity",3,2023-01-12
97,"piqu, song, lyrics, dedicated, listen",89,2023-01-12
99,"shakira, god, woman, maximum, goosaaaaaa",61,2023-01-12
100,"chew, swallow, mortify, shakira, @shakira",18,2023-01-12
101,"davies, cup, kosmos, piqu, federation",6,2023-01-12
102,"queen, shakira, quee, real, hit",165,2023-01-12
105,"hurt, shakira, pain, song, sessio",82,2023-01-12
106,"shakira, dog, puppies, song, cat",9,2023-01-12
107,"birthday, shakira, day, hahahahahahahaj, piqu",4,2023-01-12
108,"bunny, bad, shakira, subnormal, founded",4,2023-01-12
109,"dreamt, shakira, quee, dream, surpassed",2,2023-01-12
112,"love, shakira, god, kiss, hahahahaha",151,2023-01-12
114,"shakira, waste, husband, incredible, knew",3,2023-01-12
115,"team, shakira, forever, temo, #teamshakira",24,2023-01-12
116,"hair, shakira, curls, blonde, dye",20,2023-01-12
117,"love, shakira, #airdrop, #bollywood, #money",56,2023-01-12
118,"piqu, dep, ortivaaaa, cham, vienna",26,2023-01-12
119,"shakira, madrid, fifa, soccer, barcelona",56,2023-01-12
