topic,words,label,coherence,name,size
0,shakira-song-session-@shakira-listen-#shakira-music-love-women-bzrp,Shakira - The Best Song of All Time,0.6918070978998848,Shakira - The Best Song of All Time,118674
1,piqu-clara-photo-gerard-cha-chia-league-unfaithful-uploaded-player,Piqué - A Crack Pique,0.57125238825811,piqu-clara-photo-gerard-cha-chia-league-unfaithful-uploaded-player,37276
2,piqu-shakira-song-clara-gerard-#shakira-children-mother-thing-video,Shakira's Song to Piqué,0.6597796435608754,Shakira's Song to Piqué,29492
3,stings-today-peak-day-dick-spike-piqu-mood-stung-time,,,stings-today-peak-day-dick-spike-piqu-mood-stung-time,20960
4,shakira-casio-twingo-piqu-rolex-ferrari-song-watch-#shakira-renault,,,shakira-casio-twingo-piqu-rolex-ferrari-song-watch-#shakira-renault,7374
5,miley-shakira-song-cyrus-flowers-love-music-@mileycyrus-listen-exes,,,miley-shakira-song-cyrus-flowers-love-music-@mileycyrus-listen-exes,6302
6,pike-player-expensive-today-sucker-play-post-photo-good-day,,,pike-player-expensive-today-sucker-play-post-photo-good-day,4043
7,gelato-piqu-bag-gelapique-lucky-loungewear-rakuten-amazon-set-sale,,,gelato-piqu-bag-gelapique-lucky-loungewear-rakuten-amazon-set-sale,3084
8,@c-@casio0ficia-raffle-rolex-casio-costs-follow-participate-shakira-time,,,@c-@casio0ficia-raffle-rolex-casio-costs-follow-participate-shakira-time,1940
9,shakira-museum-grammy-exhibition-bizarrap-bad-bunny-music-cyrus-miley,,,shakira-museum-grammy-exhibition-bizarrap-bad-bunny-music-cyrus-miley,1802
