topic,text_id,doc
0,1080886,Increibles la similitudes y el tratamiento mediatico entre el “Caso Negreira/Barça” y esto… @litrosdalcohol @RafaRNMJ @RichardDees https://t.co/VJrTSuyVcF
0,1085871,Partido made in Negreira
0,1081306,"🗣️ @eurreiztieta 

""Es todo un misterio: Enríquez Negreira no tiene patrimonio, ni tampoco las sociedades con las que facturaba al Barcelona. El dinero se ha evaporado, no aparece por ninguna parte""

https://t.co/d5mzn6PSKI https://t.co/PEsHyNT7MJ"
0,1082131,Tranquilos que si el Barça gana la Liga y La Copa Tebas se la quitara por el caso Negreira.
0,1085962,Negreira esta presente en el campo hoy
0,1086335,"JAJAJAJAJAJAJAIA ni una amarilla a Araujo ni a Gavi.
Negreira boys en su esplendor"
0,1087519,Increible Munuera. Amarilla a Vinicius. Negreira sigue.
0,1087479,Negreira a tope ahí.
0,1089640,Este no era el árbitro en activo que iba a denunciar el caso Negreira? 🤣 https://t.co/m9L8CvIfNw
0,1088256,"Es tremendo el paralelismo entre el escándalo arbitral del Barça y el escándalo bochornoso del PSOE con Mediador. En ambos casos están intentando señalar individualmente a Negreira y Tito Berni, pero no cuela: https://t.co/1hpf4zAgCY"
1,1083280,que fantasia ver todas las historias que ha ganado el barsa💙❤️
1,1080848,Pero el Barsa paga a los árbitros 🤔🤔😂😂😂 https://t.co/2RijllYBBS
1,1082160,"Entro a twitter y veo que el BARSA ganó hoy, me voy a la cama encojonao 😡😡"
1,1085385,Cuanto habrá pagado el barsa por este arbitro? 🤔
1,1083611,"El Madrid domino,  el barsa se encerro y un gol en p.p ñe da la victoria al Madrid le falta los últimos pases"
1,1084223,Menos mal que no soy el barsa
1,1084359,puto barsa
1,1085395,los del barsa han vuelto a dar billetes a los árbitros o q
1,1085563,"Estaba el barsa en la mierda, con dos derrotas seguidas, llegan hoy al Bernabéu con bajas importantísimas y que hace el Madrid? RESUCITARLOS"
1,1087659,Ostia se lleva 6 el Barsa
