Topic,Words,Frequency,Timestamp
-1,"fifaworldcup, ismael_rubio__, semifinals, banana_comics, thexfilter",1,2022-12-12
-1,"futbol, messi𓃵, muchachoooos, 0usuv10inm, worldcup2022",1,2022-12-29
-1,"the, co, https, nepoding, game",261,2023-04-16
0,"fide_chess, vishy64theking, laura_estrella8, it, phchess",32,2023-04-16
1,"phchess, lygre, russian, fide_chess, they",19,2023-04-16
3,"liren, ding, the, world, again",18,2023-04-16
4,"chess24com, redesigning, ajciutadella, hernpb7w5h, turismomenorca",2,2023-04-16
5,"nepoding, co, https, moment, beautiful",17,2023-04-16
6,"magnus, carlsen, the, world, is",20,2023-04-16
7,"nepo, ding, nepoding, the, to",16,2023-04-16
9,"worldchesschampionship, nepoding, so, ding, far",16,2023-04-16
10,"magnuscarlsen, sergeykaryakin, win, 182, prodigios",3,2023-04-16
12,"liren, nepomniachtchi, ian, ding, co",21,2023-04-16
13,"white, play, black, nepoding, to",16,2023-04-16
14,"chesschamps, matches, fascinates, rc1vqksm7s, score",3,2023-04-16
15,"nepo, nepoding, co, https, game",16,2023-04-16
16,"nairsameer, rahulwelde, cricketwallah, atulkasbekar, saiyamikher",4,2023-04-16
17,"ding, river, sagarchess1, chess, same",8,2023-04-16
18,"chess, nepoding, co, https, can",13,2023-04-16
19,"nepoding, match, game, co, https",14,2023-04-16
20,"wc, vodjpvik1x, renounce, merely, inaugural",11,2023-04-16
21,"ask, blocked, jesse_feb, wvwolofbz6, questions",22,2023-04-16
22,"defend, classical, rapid, hhjoyi65xm, imagine",1,2023-04-16
23,"nepo, they, iceberg, norwaychess, unbm3xhpns",4,2023-04-16
25,"prevented, ian, game6, resigns, almost",2,2023-04-16
28,"chess, championship, world, nepoding, the",11,2023-04-16
29,"ding, nepoding, incredible, co, https",8,2023-04-16
30,"nepomniachtchi, c24live, xsvbo0xeni, e5, co",7,2023-04-16
31,"men, misogynist, listen, women, emilsutovsky",4,2023-04-16
32,"dog, dinglirens, blue, courtesy, fideworldchampionship2023",3,2023-04-16
-1,"the, of, https, co, it",93,2023-04-17
0,"fide_chess, phchess, it, vishy64theking, you",32,2023-04-17
1,"phchess, ukraine, russian, fide_chess, ukranian",10,2023-04-17
3,"koiyt8ekqy, endurer, qqydtvbfbt, c17m3cay9v, grinding",2,2023-04-17
4,"yawn, rooms, dedicated, terms, structure",1,2023-04-17
5,"cool, nepoding, co, https, dunks",5,2023-04-17
6,"magnus, the, carlsen, world, championship",9,2023-04-17
8,"lowkey, 039, 2pkiymbdzx, seventeen, blackpink",1,2023-04-17
9,"worldchesschampionship, tcec, mating, nepoding, co",8,2023-04-17
10,"gmwesleyso123, amp, gmhikaru, racist, magnuscarlsen",5,2023-04-17
12,"dxsy9l0ffi, q9n7dbzsch, ytxibfmyfz, lethal, glow",2,2023-04-17
13,"white, a1, qf4, zetaof1, play",9,2023-04-17
14,"rest, days, before, the, day",4,2023-04-17
15,"attacking, nepo, ucxakjcbnd, utzih0clzo, masterpieces",2,2023-04-17
16,"bcw, modern, prize, globalchessleague, gcl",4,2023-04-17
17,"ding, rest, is, gangster, vxqaqtrasc",5,2023-04-17
18,"highly, chess, nepoding, knigh, myxz8xsgsv",5,2023-04-17
19,"match, far, zsfvdvr9re, nailing, lgxwlfknpy",4,2023-04-17
23,"tweets, nepo, real, sounding, drown",2,2023-04-17
24,"wc, must, rapid, 2022, inaugural",2,2023-04-17
26,"many, turned, already, wins, great",1,2023-04-17
28,"among, games, chess, marking, depart",4,2023-04-17
29,"violating, hastag, man, my, ding",1,2023-04-17
32,"marvelled, heyavihere, features, puzzles, mating",2,2023-04-17
-1,"the, nepoding, https, co, of",232,2023-04-18
0,"fide_chess, vishy64theking, you, phchess, chrissy_cage",67,2023-04-18
1,"phchess, they, russia, is, genocide",14,2023-04-18
2,"discount, iphone, bilkisbano, gaurikhan, typo3",2,2023-04-18
3,"another, liren, trouble, ding, chokes",3,2023-04-18
4,"susanpolgar, chessdom, specially, onthequeenside, questionable",2,2023-04-18
