topic,text_id,doc
0,1082809,Donde se ha quedado el todopoderoso estilo de juego del barsa
0,1082323,"#chiringuitoTitular
El Barsa cambia ADN por una final"
0,1083769,Real Madrid 0-1 F.C. Negreira
0,1085045,Vaya bus me lleva el barsa
0,1084233,"Si hace unos años nos dicen que el Barsa iba a jugar así y con Xavi (jugón por excelencia) de entrenador, no nos lo hubiéramos creído nadie.
Qué manera de competir, qué manera de defender!
Y chapeau por Xavi adaptándose a las circunstancias de su equipo para poder competir así."
0,1084897,Nos va a ganar el peor Barsa de la historia
0,1086121,El Barsa con menos pólvora de los últimos 20 años y nos va ganando fácil.
0,1086489,nadaa q para el barsa no tiene tarjetas o q
0,1087204,Gol de Barsa encima ☠️
0,1089829,"Mi segundo equipo es el Barsa, no me escondo para nada. Acepto humillaciones, vejaciones y todo tipo de barbaridades por vuestra parte"
1,1084684,Negreira sigue en activo ?
1,1081100,¿No se llamaría Negreira por casualidad? https://t.co/bArxBeSvE5
1,1086893,LA MANO NEGREIRA
1,1087469,Negreira sigue activo.
1,1087496,AMARILLA A VINIIII NOOOO NEGREIRA ES VERDAD
1,1089821,"Iban a salir más. Ya no va a salir ninguno. Si hablas, al carrer. Y ya no está Negreira... https://t.co/psHSaggMeH"
1,1086741,lo de negreira no se habia acabado?
1,1086757,Negreira haciendo de las suyas
1,1087028,El tema de Negreira parece que sigue activo
1,1087375,"NEGREIRA DA LA CARA
ESTOS SON TUS JUGUETES"
2,1086161,"Que en este partido no tengan una amarilla ni Araújo ni Gavi y que la tenga Vinicius es de traca....
¿Quién estará ejerciendo de Negreira en nuestros días? 🤷🏻‍♂️🤷🏻‍♂️
#RealMadridBarcelona #ElClasico #CorrupcionEnLaFederacion"
2,1085491,"Agresión de Gavi ""el Carnicero"" a Militão y no le saca amarilla. Una vez más, efecto Negreira. https://t.co/QzdwJCX62J"
2,1085611,"Vinicius tiene una amarilla y Gavi no, Negreira está haciendo un partidazo"
2,1086056,Que el enviado del Sindicato Negreira del @ctarfef haya sacado amarilla a Vinícius por un forcejeo y no a Gavi por una agresión más de las suya nos da una idea de lo podrido que esta esto.
2,1086278,Gavi con 2 amarillas perdonadas ya. Asi gana el Negreira Team. https://t.co/6PIsmJATH2
2,1086291,"Gavi sigan sigan... Vinicius le hacen falta y amarilla para el.. Munuera, ¿No tendrá algo que decir aquí Negreira?? @rfef"
2,1086732,"Dos amarillas perdonadas a gavi en 1 minuto, acojonante……

Negreira !!!!!"
2,1086734,"Jajaja, y no le saca amarilla a Gavi. ¿Pues no era que el Barça ya no le pagaba a Negreira y que eso había prescrito, @Tebasjavier , @LaLiga ?"
2,1086859,Y eso de Gavi no es amarilla? JAJAJAJAJ NEGREIRA FUNCIONA
2,1087349,"Nahh, si es amarilla es para los dos pero como siempre, Negreira y sus cosas."
3,1088549,"La RFEF asegura que un árbitro ""no ha contribuido a la investigacion interna"" sobre el 'caso Negreira'
https://t.co/DVC8MP3Yfx"
3,1088708,Los árbitros defienden su honor por el caso Negreira y señalan a un traidor  https://t.co/HSTFQ9p1me
3,1088916,"Medina Cantalejo (CTA) sobre el caso Negreira: “No hay pruebas para decir que un árbitro es deshonesto”.

https://t.co/qnMWH3chNN https://t.co/B1hzoLPzwz"
3,1089044,"🔴 #ÚLTIMAHORA | Los árbitros se defienden del 'caso Negreira': ""No hay pruebas que digan que hemos sido deshonestos"" https://t.co/LJyGXtjyCk https://t.co/MOq5fdPEir"
3,1089177,"😨 Andreu Camps, secretario general de la RFEF, confirma que un árbitro no ha querido colaborar en la investigación del ‘Caso Negreira’.

📹 @marca 
https://t.co/NriLDgyADF"
3,1089198,"💣 𝐁𝐎𝐌𝐁𝐀𝐙𝐎 | Un árbitro no ha querido colaborar en la investigación del ‘Caso Negreira’.

Andreu Camps, secretario general de la RFEF:

 https://t.co/HZcw9t1VZ7"
3,1089220,"🗣️ Andreu Camps, secrétaire général de la RFEF : ""Un seul arbitre n'a pas souhaité participer à l'enquête sur le cas Negreira""

🗞️ Conf. de presse https://t.co/z5jxX31IR9"
3,1089222,"💥💥 ""Un árbitro no ha querido colaborar en la investigación"", apunta Andreu Camps, secretario general de la RFEF sobre el Caso Negreira https://t.co/vUbkZkf8aJ"
3,1089475,"🎙️ Andreu Camps, Secretario General de la RFEF, sobre el ‘caso Negreira’: 

“Todos los árbitros menos uno han colaborado en la investigación interna” https://t.co/yiNxdyqsNM"
3,1089506,"Un árbitro en activo no ha contestado a los requerimientos de la propia RFEF sobre el caso Negreira, pasando de contestar al mismo literalmente, ya veremos de quién se trata y que es lo que tiene que ocultar"
4,1081368,"🚨Información de @elmundoes 

""Negreira sacaba entre 10.000 y 20.000 euros al mes en metálico mientras cobraba del Barça"""
4,1081392,"Negreira retiraba 20.000 euros cada mes en efectivo. Si lo sacaba de un cajero, imagino que se podrá trackear a dónde iba después. https://t.co/RHWqOCma4P"
4,1081398,Nueva exclusiva del Barçagate: Negreira retiraba hasta 20.000 euros mensuales en metálico mientras cobraba del Barcelona. A quién pagaba con ese dinero negro luego? https://t.co/r06M3Yv9rw
4,1090010,"🤔¿PARA QUÉ SACABA NEGREIRA 20.000€ MENSUALES DE CAJEROS AUTOMÁTICOS? 
#barçagate

VÍDEO COMPLETO➡️https://t.co/9ph9Fu1DOA 

Avance del Vídeo⬇️⬇️⬇️ https://t.co/cavkKETqdJ"
4,1081330,"🔴 ATENCIÓN ENCUESTA 
Negreira retiraba hasta 20.000 euros mensuales en metálico mientras cobraba del FC Barcelona. La Fiscalía constata que no tiene ninguna propiedad a su nombre.
#barcagate
¿Dónde creen que acababa el dinero?"
4,1088604,Enríquez Negreira retiraba 20.000 euros mensuales mientras cobraba del Barça: ¿A dónde iba ese dinero? https://t.co/9uAjvEGH4u
4,1088719,"El Barça pagaba a la empresa de Negreira unos 500000 euros al año, Negreira retiraba hasta 20000 euros en efectivo al mes, no hay que ser muy listo para saber dónde iba el dinero."
4,1089458,"Negreira sacó hasta 20.000 euros al mes en efectivo mientras cobraba del Barça
@marca https://t.co/ckRsQ5ufFf"
4,1089641,Enríquez Negreira retiraba 20.000 euros mensuales mientras cobraba del Barça: ¿A dónde iba ese dinero? https://t.co/CLZyvwo062
