topic,words,label,coherence,name,size
0,shakira-song-session-@shakira-listen-love-music-#shakira-singing-play,Shakira - The Best Song Ever,0.6514751670702116,Shakira - The Best Song Ever,77929
1,piqu-clara-photo-gerard-cha-league-chia-uploaded-unfaithful-girlfriend,The New Pique - The New Pique,0.5574805180080609,piqu-clara-photo-gerard-cha-league-chia-uploaded-unfaithful-girlfriend,36394
2,piqu-shakira-song-clara-gerard-#shakira-children-mother-video-thing,Piqué and Shakira - The World Cup,0.6657615066294261,Piqué and Shakira - The World Cup,29443
3,peak-today-spike-dick-day-mood-rush-energy-nerve-work,The Peak of the Day,0.17350975455150874,peak-today-spike-dick-day-mood-rush-energy-nerve-work,10657
4,miley-shakira-cyrus-song-flowers-love-@mileycyrus-music-taylor-listen,Miley Cyrus and Shakira - The Best Song Ever,0.7392785105410659,Miley Cyrus and Shakira - The Best Song Ever,6314
5,shakira-casio-twingo-rolex-ferrari-piqu-song-watch-#shakira-traded,Casio Watches - Shakira's New Song,0.3423004914026839,shakira-casio-twingo-rolex-ferrari-piqu-song-watch-#shakira-traded,5431
6,shakira-women-money-billing-@shakira-song-#shakira-crying-invoice-tax,,,shakira-women-money-billing-@shakira-song-#shakira-crying-invoice-tax,4850
7,stings-stung-itch-itchy-bite-mosquito-eyes-damn-scratch-bitten,,,stings-stung-itch-itchy-bite-mosquito-eyes-damn-scratch-bitten,4580
8,shakira-spotify-session-music-bzrp-song-artist-@shakira-listen-latin,,,shakira-spotify-session-music-bzrp-song-artist-@shakira-listen-latin,4018
9,shakira-#shakira-piqu-#pique-fonasa-#fiestadelosabrazos-mackenna-isapres-#missuniverse2022-#ladivinacomida,,,shakira-#shakira-piqu-#pique-fonasa-#fiestadelosabrazos-mackenna-isapres-#missuniverse2022-#ladivinacomida,3995
10,pike-today-play-good-day-start-time-hide-morning-love,,,pike-today-play-good-day-start-time-hide-morning-love,3647
11,gelato-piqu-bag-gelapique-lucky-loungewear-rakuten-pajamas-amazon-sale,,,gelato-piqu-bag-gelapique-lucky-loungewear-rakuten-pajamas-amazon-sale,2796
12,shakira-clara-song-cha-chia-paquita-#shakira-@shakira-sanz-barrio,,,shakira-clara-song-cha-chia-paquita-#shakira-@shakira-sanz-barrio,2766
13,-love-dick-pick-friends-mother-click-pic-deserve-spike,,,-love-dick-pick-friends-mother-click-pic-deserve-spike,2464
14,piqu-twingo-casio-league-shakira-gerard-kings-sponsor-arrived-agreement,,,piqu-twingo-casio-league-shakira-gerard-kings-sponsor-arrived-agreement,2325
15,shakira-jelly-jam-eat-strawberry-ate-jar-discovered-cheated-betrayed,,,shakira-jelly-jam-eat-strawberry-ate-jar-discovered-cheated-betrayed,2273
16,@c-@casio0ficia-raffle-costs-participate-rolex-casio-follow-watch-shakira,,,@c-@casio0ficia-raffle-costs-participate-rolex-casio-follow-watch-shakira,1940
17,shakira-@youtube-video-hd-official-featuring-music-song-#nowplaying-rihanna,,,shakira-@youtube-video-hd-official-featuring-music-song-#nowplaying-rihanna,1756
18,grammy-museum-shakira-exhibition-music-bzrp-session-interact-@bizarrap-@shakira,,,grammy-museum-shakira-exhibition-music-bzrp-session-interact-@bizarrap-@shakira,1202
19,karol-shakira-song-collaboration-release-arol-music-@karolg-@popbase-#karolg,,,karol-shakira-song-collaboration-release-arol-music-@karolg-@popbase-#karolg,1010
20,booed-piqu-esland-#esland2023-award-people-auditorium-mexico-pico-clip,,,booed-piqu-esland-#esland2023-award-people-auditorium-mexico-pico-clip,825
21,wolf-shakira-guys-uh-song-newbies-@shakira-#shakira-wolves-love,,,wolf-shakira-guys-uh-song-newbies-@shakira-#shakira-wolves-love,810
