Topic,Words,Frequency,Timestamp
0,"shakira, song, session, @shakira, women",11607,2023-01-12
1,"piqu, clara, gerard, photo, day",1898,2023-01-12
2,"piqu, shakira, song, session, clara",2647,2023-01-12
3,"stings, pick, salt, itchy, stung",189,2023-01-12
4,"twingo, shakira, casio, piqu, ferrari",518,2023-01-12
5,"shakira, miley, song, cyrus, taylor",41,2023-01-12
6,"pike, cup, league, play, today",28,2023-01-12
7,"gelato, piqu, rakuten, #rakutenichiba, rba",11,2023-01-12
9,"session, shakira, listen, today, start",1,2023-01-12
0,"shakira, song, session, #shakira, @shakira",5113,2023-01-13
1,"piqu, clara, photo, gerard, defend",842,2023-01-13
2,"piqu, shakira, song, children, clara",1516,2023-01-13
3,"stings, today, day, stung, spike",182,2023-01-13
4,"casio, shakira, twingo, piqu, rolex",596,2023-01-13
5,"miley, shakira, song, cyrus, flowers",279,2023-01-13
6,"pike, nightclub, drink, start, play",22,2023-01-13
7,"gelato, piqu, bag, gelapique, lucky",24,2023-01-13
0,"shakira, song, @shakira, session, music",4974,2023-01-14
1,"piqu, clara, casio, @juandiegoquetal, photo",1166,2023-01-14
2,"piqu, shakira, song, children, clara",1324,2023-01-14
3,"stings, @luixnttj, leal, piqu, djonga",197,2023-01-14
4,"casio, shakira, piqu, twingo, rolex",1075,2023-01-14
5,"miley, shakira, song, cyrus, flowers",280,2023-01-14
6,"pike, outcall, @olive_draya, dominatrix, #fearwomen",50,2023-01-14
7,"@sofipelotudaa, piqu, gelato, discreet, cot",175,2023-01-14
8,"@c, @casio0ficia, raffle, rolex, casio",1940,2023-01-14
9,"@sonymusiclatin, @bizarrap, @shakira, warriors, walk",125,2023-01-14
0,"shakira, song, session, @shakira, #shakira",8187,2023-01-15
1,"piqu, clara, fault, photo, gerard",1639,2023-01-15
2,"piqu, shakira, song, clara, gerard",1881,2023-01-15
3,"stings, stung, today, peak, dick",774,2023-01-15
4,"casio, shakira, twingo, piqu, rolex",803,2023-01-15
5,"miley, shakira, song, cyrus, flowers",613,2023-01-15
6,"pike, player, today, expensive, play",150,2023-01-15
7,"gelato, piqu, bag, gelapique, rakuten",87,2023-01-15
9,"shakira, cee, onerepublic, ayliva, boomin",2,2023-01-15
0,"shakira, song, session, @shakira, listen",8185,2023-01-16
1,"piqu, clara, photo, gerard, cha",2291,2023-01-16
2,"piqu, shakira, song, clara, gerard",2475,2023-01-16
3,"stings, today, peak, friends, spike",1137,2023-01-16
4,"twingo, shakira, casio, piqu, rolex",933,2023-01-16
5,"miley, shakira, song, cyrus, flowers",574,2023-01-16
6,"pike, player, expensive, today, sucker",189,2023-01-16
7,"gelato, piqu, bag, gelapique, lucky",112,2023-01-16
9,"shakira, sza, bzrp, music, session",23,2023-01-16
0,"shakira, song, session, @shakira, listen",8073,2023-01-17
1,"piqu, clara, gerard, photo, league",1575,2023-01-17
2,"piqu, shakira, song, clara, gerard",1846,2023-01-17
3,"stings, peak, today, day, dick",1085,2023-01-17
4,"shakira, casio, twingo, piqu, rolex",618,2023-01-17
5,"miley, shakira, song, cyrus, flowers",620,2023-01-17
6,"pike, player, expensive, sucker, post",184,2023-01-17
7,"gelato, piqu, bag, gelapique, lucky",144,2023-01-17
9,"shakira, sza, music, bzrp, @bizarrap",47,2023-01-17
0,"shakira, song, session, listen, @shakira",7402,2023-01-18
1,"piqu, clara, gerard, photo, league",1243,2023-01-18
2,"piqu, shakira, song, clara, gerard",1560,2023-01-18
3,"stings, peak, today, day, spike",947,2023-01-18
4,"shakira, casio, twingo, piqu, rolex",374,2023-01-18
5,"miley, shakira, song, cyrus, flowers",611,2023-01-18
6,"pike, player, expensive, play, sucker",169,2023-01-18
7,"gelato, piqu, bag, gelapique, lucky",130,2023-01-18
9,"shakira, music, bzrp, session, @bizarrap",102,2023-01-18
0,"shakira, song, session, @shakira, listen",7134,2023-01-19
1,"piqu, clara, gerard, cha, photo",1275,2023-01-19
2,"piqu, shakira, song, clara, gerard",1941,2023-01-19
3,"stings, peak, today, day, dick",1039,2023-01-19
4,"casio, shakira, twingo, piqu, rolex",354,2023-01-19
5,"miley, shakira, song, cyrus, flowers",495,2023-01-19
6,"pike, player, expensive, sucker, post",232,2023-01-19
7,"gelato, piqu, bag, gelapique, loungewear",132,2023-01-19
9,"shakira, music, bzrp, session, @bizarrap",88,2023-01-19
0,"shakira, song, session, listen, @shakira",6577,2023-01-20
1,"piqu, clara, gerard, league, cha",2172,2023-01-20
2,"piqu, shakira, song, clara, gerard",1688,2023-01-20
3,"stings, today, peak, day, dick",1227,2023-01-20
4,"shakira, casio, twingo, piqu, rolex",300,2023-01-20
5,"miley, shakira, song, cyrus, flowers",500,2023-01-20
6,"pike, player, expensive, sucker, post",233,2023-01-20
7,"gelato, piqu, gelapique, bag, lucky",186,2023-01-20
9,"shakira, bizarrap, sza, #fridayfeeling, #friday",66,2023-01-20
0,"shakira, song, session, @shakira, listen",6756,2023-01-21
1,"piqu, clara, gerard, cha, unfaithful",1862,2023-01-21
2,"piqu, shakira, song, clara, gerard",1334,2023-01-21
3,"stings, today, peak, dick, spike",1427,2023-01-21
4,"shakira, casio, twingo, piqu, rolex",283,2023-01-21
5,"miley, shakira, song, cyrus, flowers",451,2023-01-21
6,"pike, player, today, expensive, sucker",295,2023-01-21
7,"gelato, piqu, gelapique, bag, lucky",210,2023-01-21
9,"shakira, bizarrap, #weekendvibes, #shoutoutsaturday, bunny",90,2023-01-21
0,"shakira, song, listen, @shakira, session",5651,2023-01-22
1,"piqu, clara, unfaithful, cha, chia",2071,2023-01-22
2,"piqu, shakira, song, clara, gerard",1002,2023-01-22
3,"stings, today, peak, dick, day",1332,2023-01-22
4,"shakira, casio, twingo, piqu, rolex",185,2023-01-22
5,"miley, shakira, song, cyrus, flowers",303,2023-01-22
6,"pike, player, expensive, today, play",239,2023-01-22
7,"gelato, piqu, bag, gelapique, lucky",185,2023-01-22
9,"shakira, bizarrap, bad, bunny, #sundayfunday",78,2023-01-22
0,"shakira, song, listen, session, @shakira",6928,2023-01-23
1,"piqu, clara, cha, gerard, unfaithful",2127,2023-01-23
2,"piqu, shakira, song, clara, gerard",1410,2023-01-23
3,"stings, peak, today, day, dick",1709,2023-01-23
4,"shakira, casio, twingo, piqu, rolex",226,2023-01-23
5,"miley, shakira, song, cyrus, flowers",335,2023-01-23
6,"pike, player, expensive, today, play",303,2023-01-23
7,"gelato, piqu, bag, gelapique, lucky",282,2023-01-23
9,"shakira, bizarrap, #musicmonday, #mondaymotivation, bad",64,2023-01-23
0,"shakira, song, session, @shakira, listen",5758,2023-01-24
1,"piqu, clara, gerard, cha, photo",1695,2023-01-24
2,"piqu, shakira, song, video, mother",1435,2023-01-24
3,"stings, peak, today, day, dick",1413,2023-01-24
4,"shakira, casio, twingo, piqu, rolex",188,2023-01-24
5,"miley, shakira, song, cyrus, flowers",366,2023-01-24
6,"pike, player, expensive, sucker, post",287,2023-01-24
7,"gelato, piqu, bag, gelapique, lucky",235,2023-01-24
9,"shakira, bizarrap, #traveltuesday, #tuesdaythoughts, cyrus",76,2023-01-24
0,"shakira, song, session, @shakira, listen",2331,2023-01-25
1,"piqu, photo, clara, cha, gerard",2339,2023-01-25
2,"piqu, shakira, song, clara, mother",717,2023-01-25
3,"stings, peak, dick, today, day",746,2023-01-25
4,"twingo, shakira, casio, piqu, ferrari",122,2023-01-25
5,"miley, shakira, song, cyrus, flowers",102,2023-01-25
6,"pike, player, expensive, post, round",180,2023-01-25
7,"gelato, piqu, bag, gelapique, loungewear",102,2023-01-25
9,"shakira, sza, music, bzrp, boomin",28,2023-01-25
0,"shakira, song, @shakira, listen, session",5660,2023-01-26
1,"piqu, photo, clara, cha, gerard",6418,2023-01-26
2,"piqu, shakira, song, clara, photo",2446,2023-01-26
3,"stings, peak, today, day, spike",1312,2023-01-26
4,"twingo, shakira, casio, piqu, rolex",293,2023-01-26
5,"miley, shakira, song, cyrus, flowers",145,2023-01-26
6,"pike, add, player, expensive, strengthen",253,2023-01-26
7,"gelato, piqu, bag, gelapique, loungewear",124,2023-01-26
9,"shakira, museum, grammy, exhibition, interact",318,2023-01-26
0,"shakira, song, session, @shakira, listen",5718,2023-01-27
1,"piqu, clara, photo, gerard, cha",2470,2023-01-27
2,"piqu, shakira, song, clara, gerard",1603,2023-01-27
3,"stings, today, day, peak, dick",1467,2023-01-27
4,"shakira, twingo, casio, piqu, rolex",180,2023-01-27
5,"miley, shakira, song, cyrus, flowers",178,2023-01-27
6,"pike, player, today, expensive, play",267,2023-01-27
7,"gelato, piqu, bag, gelapique, lucky",253,2023-01-27
9,"shakira, museum, grammy, exhibition, interact",364,2023-01-27
0,"shakira, song, session, @shakira, listen",4295,2023-01-28
1,"piqu, clara, photo, gerard, cha",1471,2023-01-28
2,"piqu, shakira, song, clara, gerard",977,2023-01-28
3,"stings, today, peak, dick, day",1428,2023-01-28
4,"twingo, shakira, casio, piqu, rolex",152,2023-01-28
5,"miley, shakira, song, cyrus, flowers",147,2023-01-28
6,"pike, today, player, play, expensive",308,2023-01-28
7,"gelato, piqu, bag, gelapique, lucky",199,2023-01-28
9,"shakira, grammy, museum, exhibition, bizarrap",139,2023-01-28
0,"shakira, song, session, listen, @shakira",3698,2023-01-29
1,"piqu, clara, photo, gerard, cha",1278,2023-01-29
2,"piqu, shakira, song, clara, gerard",749,2023-01-29
3,"stings, peak, today, dick, day",1410,2023-01-29
4,"shakira, casio, twingo, piqu, ferrari",78,2023-01-29
5,"miley, shakira, song, cyrus, flowers",111,2023-01-29
6,"pike, player, expensive, play, today",263,2023-01-29
7,"gelato, piqu, bag, gelapique, lucky",194,2023-01-29
9,"shakira, grammy, museum, exhibition, bizarrap",102,2023-01-29
0,"shakira, song, listen, session, @shakira",3514,2023-01-30
1,"piqu, clara, photo, gerard, cha",1147,2023-01-30
2,"piqu, shakira, song, clara, gerard",738,2023-01-30
3,"stings, peak, today, dick, day",1500,2023-01-30
4,"shakira, twingo, casio, piqu, rolex",84,2023-01-30
5,"miley, shakira, song, cyrus, flowers",113,2023-01-30
6,"pike, player, expensive, today, sucker",301,2023-01-30
7,"gelato, piqu, bag, gelapique, lucky",226,2023-01-30
9,"shakira, bizarrap, museum, grammy, #musicmonday",78,2023-01-30
0,"shakira, song, session, listen, @shakira",1113,2023-01-31
1,"piqu, clara, cha, photo, gerard",297,2023-01-31
2,"piqu, shakira, song, clara, gerard",203,2023-01-31
3,"stings, day, peak, today, spike",439,2023-01-31
4,"shakira, casio, twingo, rolex, ferrari",12,2023-01-31
5,"miley, shakira, cyrus, song, flowers",38,2023-01-31
6,"pike, play, player, today, expensive",90,2023-01-31
