Topic,Words,Frequency,Timestamp
0,"#worldcup2022, @oskiki77, semifinals, @ismael_rubio__, @thexfilter",1,2022-12-12
0,"#worldcup2022, muchachoooos, #futbol, #ajedrez, #messi",1,2022-12-29
0,"#nepoding, ding, game, chess, liren",425,2023-04-16
1,"@fide_chess, @phchess, @jesse_feb, @lachesisq, block",128,2023-04-16
2,"duck, #nepoding, #grandnational2023, #amstelgoldrace, #pokemongo",1,2023-04-16
3,"wc, @fide_chess, inaugural, rapid, @gmwesleyso123",14,2023-04-16
0,"#nepoding, ding, game, #worldchesschampionship, chess",128,2023-04-17
1,"@fide_chess, @phchess, chess, player, fide",77,2023-04-17
2,"pfft, #stopoilbellends, powder, @juststop_oil, #bbcsnooker",1,2023-04-17
3,"wc, @gmwesleyso123, @fide_chess, rapid, classic",5,2023-04-17
0,"#nepoding, ding, game, #worldchesschampionship, liren",432,2023-04-18
1,"@fide_chess, @phchess, chess, @davidllada, @jesse_feb",149,2023-04-18
2,"#bilkisbano, #nepoding, #supremecourt, #tuesdayvibe, #sharadpawar",1,2023-04-18
3,"wc, @fide_chess, inaugural, rapid, classic",6,2023-04-18
0,"#nepoding, ding, game, #worldchesschampionship, #chess",67,2023-04-19
1,"@fide_chess, chess, @phchess, player, @lachesisq",44,2023-04-19
2,"#nepoding, #jayvonne, #supremecourt, #soeder, #boyfriendreveal",3,2023-04-19
3,"wc, wfrcc, rapid, @fide_chess, @gmwesleyso123",4,2023-04-19
0,"#nepoding, ding, game, liren, chess",443,2023-04-20
1,"@fide_chess, @vishy64theking, chess, @europeechecs, @phchess",138,2023-04-20
3,"wc, wfrcc, rapid, @fide_chess, classic",2,2023-04-20
0,"#nepoding, ding, game, chess, liren",271,2023-04-21
1,"@fide_chess, @vishy64theking, chess, @phchess, @chesscom",62,2023-04-21
2,"yeh, ares, kiya, phisal, #nepoding",1,2023-04-21
3,"wfrcc, wc, rapid, @fide_chess, classic",1,2023-04-21
0,"#nepoding, ding, game, championship, chess",51,2023-04-22
1,"@fide_chess, @phchess, chess, @europeechecs, @chessdom",63,2023-04-22
2,"@cornelllaw, @sapporobeer, polly, @getdressed365, @betmusic",1,2023-04-22
0,"#nepoding, game, ding, chess, liren",189,2023-04-23
1,"@fide_chess, @phchess, chess, @vishy64theking, @europeechecs",61,2023-04-23
2,"#nepoding, rap, gm, #likecrazy, #jhope",2,2023-04-23
3,"wc, @fide_chess, inaugural, rapid, classic",13,2023-04-23
0,"#nepoding, game, ding, liren, #worldchesschampionship",171,2023-04-24
1,"@fide_chess, chess, @phchess, @europeechecs, @chessdom",51,2023-04-24
3,"wfrcc, rapid, @gmwesleyso123, wc, inaugural",1,2023-04-24
0,"#nepoding, ding, game, #chess, championship",58,2023-04-25
1,"@fide_chess, @chesscom, chess, @ingestibile79, @esportsillus",37,2023-04-25
0,"#nepoding, ding, game, #worldchesschampionship, chess",549,2023-04-26
1,"@fide_chess, chess, @phchess, game, @vishy64theking",101,2023-04-26
2,"#nepoding, #starwarsjedisurvivor, #princeharry, #jjkspoilers, #ourskyyxstarinmymindep1",2,2023-04-26
3,"wc, @fide_chess, @fischer_random, inaugural, @gmwesleyso123",6,2023-04-26
0,"#nepoding, ding, game, liren, chess",312,2023-04-27
1,"@fide_chess, chess, @phchess, @vishy64theking, @hansmokeniemann",73,2023-04-27
2,"#nepoding, #glazersout, rockstar, hairdo, band",4,2023-04-27
3,"wc, wfrcc, rapid, @fide_chess, classic",11,2023-04-27
0,"#nepoding, game, ding, chess, @fide_chess",95,2023-04-28
1,"@fide_chess, @phchess, chess, russian, @lachesisq",110,2023-04-28
2,"@sheya_chisenga, binance, earn, message, #nepoding",2,2023-04-28
3,"wc, rapid, wfrcc, classic, @fide_chess",12,2023-04-28
0,"#nepoding, ding, game, chess, liren",601,2023-04-29
1,"@fide_chess, chess, @phchess, @emilsutovsky, @vishy64theking",74,2023-04-29
2,"#nepoding, bitget, #latenightlycett, #glazersout, #elonmusk",3,2023-04-29
3,"wc, @gmwesleyso123, @fide_chess, inaugural, rapid",1,2023-04-29
0,"#nepoding, ding, liren, champion, chess",687,2023-04-30
1,"@fide_chess, chess, @phchess, #nepoding, @aminehsissi",172,2023-04-30
2,"#nepoding, #glazersout, #cskvspbks, #motogp, #kvmant",372,2023-04-30
3,"wc, inaugural, @fide_chess, rapid, classic",19,2023-04-30
0,"#nepoding, ding, chess, liren, champion",230,2023-05-01
1,"@fide_chess, @phchess, chess, @davidllada, @emilsutovsky",155,2023-05-01
2,"#nepoding, #glazersout, #azerbaijangp, #cskvspbks, #motogp",16,2023-05-01
3,"wc, @fide_chess, @gmwesleyso123, inaugural, rapid",11,2023-05-01
0,"#nepoding, ding, champion, chess, @fide_chess",103,2023-05-02
