topic,words,label,coherence,name,size
0,piqu-clara-photo-cha-gerard-league-unfaithful-uploaded-chia-girlfriend,The Best Pique Ever,0.42168395655440494,piqu-clara-photo-cha-gerard-league-unfaithful-uploaded-chia-girlfriend,34420
1,piqu-shakira-song-clara-gerard-children-mother-#shakira-cha-thing,The Bad Relationship Between Shakira and Piqué,0.48309583166571013,piqu-shakira-song-clara-gerard-children-mother-#shakira-cha-thing,23204
2,miley-shakira-cyrus-song-flowers-@mileycyrus-love-#mileycyrus-exes-listen,Miley Cyrus and Shakira - The Best Song Ever,0.6892308325876132,Miley Cyrus and Shakira - The Best Song Ever,5629
3,shakira-queen-quee-song-love-goddess-hot-beautiful-@shakira-woman,Shakira Queen,0.7392362061570135,Shakira Queen,4729
4,pike-today-play-carnival-good-day-hide-#bbb23-morning-start,The Pike,0.5770938134921068,pike-today-play-carnival-good-day-hide-#bbb23-morning-start,3668
5,shakira-spotify-session-song-music-monthly-artist-#1-latin-bzrp,Shakira Becomes Most listened to Latin Artist on Spotify,0.6836899873174561,Shakira Becomes Most listened to Latin Artist on Spotify,3635
6,energy-spike-today-rush-day-sleep-nerve-mood-gym-morning,Running - I'm Not Going to Stay Home,0.19749280783311848,energy-spike-today-rush-day-sleep-nerve-mood-gym-morning,3430
7,gelato-piqu-bag-lucky-gelapique-loungewear-rakuten-pajamas-amazon-sale,Gelato Pique Gelato Pique Ladies [HOLIDAY],0.3916120361350401,gelato-piqu-bag-lucky-gelapique-loungewear-rakuten-pajamas-amazon-sale,2795
8,@shakira-#shakira-shakira-@bizarrap-love-@3gerardpique-#shakiraxbizarrap-#shakirabzrp-@shakiramedia-queen,Shakira - A New Song,0.7288384288937801,Shakira - A New Song,2590
9,shakira-bizarrap-bzrp-session-song-biza-listen-music-good-collaboration,BZRP Sessions With Shakira - The Top 5 Sessions,0.7883588377539127,BZRP Sessions With Shakira - The Top 5 Sessions,2309
10,shakira-jelly-jam-strawberry-jar-eat-ate-discovered-betrayed-fridge,Shakira's Jelly - A Story About The Jelly,0.7534287813420893,Shakira's Jelly - A Story About The Jelly,2127
11,stings-stung-bee-bite-mosquito-damn-bitten-wasp-time-eyes,The Sting,0.5745736492178163,stings-stung-bee-bite-mosquito-damn-bitten-wasp-time-eyes,2077
12,@c-@casio0ficia-raffle-costs-participate-rolex-casio-follow-watch-time,Casio Watch Shakira Doesn't Know About: It Costs,1.0000000000000007,Casio Watch Shakira Doesn't Know About: It Costs,1941
13,shakira-mom-song-listen-singing-dad-session-mother-play-bzrp,My Mom Sings Shakira's Song,0.7770001448196031,My Mom Sings Shakira's Song,1909
14,piqu-twingo-casio-league-kings-arrived-gerard-sponsor-ferrari-shakira,Piqué's Twingo,0.7419334230399295,Piqué's Twingo,1898
15,shakira-song-feminist-criticize-women-feminism-people-men-sexist-woman,Shakira's Song Is Not Feminist,0.6336616258823012,Shakira's Song Is Not Feminist,1789
16,-love-click-pic-pick-queen-deserve-mother-chop-piqu,The Best of the Best,0.2797395337047863,-love-click-pic-pick-queen-deserve-mother-chop-piqu,1772
17,women-shakira-money-@shakira-billing-#shakira-toll-song-crying-phrase,"Women Don't Cry Anymore, Women Do Bill",0.7006351062047149,"Women Don't Cry Anymore, Women Do Bill",1710
18,shakira-session-play-sessio-song-listen-ibiza-stadium-good-quevedo,Shakira's Session Is Good,0.7653865712121701,Shakira's Session Is Good,1666
19,shakira-song-good-love-listen-catchy-great-lyrics-music-time,Shakira's New Song,0.7734848738796651,Shakira's New Song,1605
20,twingo-shakira-ferrari-traded-renault-car-#twingo-song-rolex-@shakira,Shakira You Traded A Ferrari For A Twingo,0.55097833121967,twingo-shakira-ferrari-traded-renault-car-#twingo-song-rolex-@shakira,1539
21,shakira-#nowplaying-@youtube-featuring-hd-wyclef-official-feat-video-hips,Shakira - A Little Love (Official HD Video),0.6551312252958511,Shakira - A Little Love (Official HD Video),1300
22,peak-spike-rush-today-start-peas-year-week-day-month,The Peak of the Week,0.4422363961446845,peak-spike-rush-today-start-peas-year-week-day-month,1288
23,shakira-concert-rbd-tour-song-album-tickets-@shakira-release-coming,Shakira Concerts - I Need to Go to a Shakira Concert,0.7200935055049631,Shakira Concerts - I Need to Go to a Shakira Concert,1276
24,song-shakira-bad-listen-sick-horrible-good-tired-boring-hate,Shakira's Song is Bad,0.8112260145349399,Shakira's Song is Bad,1275
25,shakira-guys-song-man-cheated-love-thing-married-left-children,Shakira's Exit From the World,0.5447488646691481,shakira-guys-song-man-cheated-love-thing-married-left-children,1252
26,rolex-casio-shakira-watch-#rolex-#casio-exchange-traded-calculator-#shakira,Shakira - Rolex or Casio?,0.6853212288251476,Shakira - Rolex or Casio?,1154
27,shakira-song-head-mind-listen-day-stuck-singing-play-loop,Shakira's New Song Doesn't Get Out of My Head,0.8176017949824285,Shakira's New Song Doesn't Get Out of My Head,1143
28,isapres-fonasa-#fiestadelosabrazos-mackenna-#ladivinacomida-matthei-olmue-benjamin-communist-evelyn,The People Demand: Peru,0.23460951391805232,isapres-fonasa-#fiestadelosabrazos-mackenna-#ladivinacomida-matthei-olmue-benjamin-communist-evelyn,1129
29,shakira-song-exes-dedicated-breakup-miley-talk-throw-singing-relationship,Shakira's Song to Her Ex,0.6680895711573356,Shakira's Song to Her Ex,1099
30,cheated-shakira-men-magine-beyonc-unfaithful-safe-guys-fucking-man,How You Gonna Cheat on Shakira?,0.8068585038633354,How You Gonna Cheat on Shakira?,998
31,karol-shakira-collaboration-song-release-arol-@karolg-sony-#karolg-music,Shakira and Karol G - A New Collaboration,0.8693499364513964,Shakira and Karol G - A New Collaboration,990
32,shakira-listen-song-singing-stening-day-lungs-play-dance-music,Listening to Shakira,0.4606221457519854,shakira-listen-song-singing-stening-day-lungs-play-dance-music,983
33,bbb-watch-movie-series-nerve-mood-brother-#bbb23-book-big,,,bbb-watch-movie-series-nerve-mood-brother-#bbb23-book-big,930
34,tiktok-shakira-song-dance-choreography-bizarrap-video-viral-trend-challenge,,,tiktok-shakira-song-dance-choreography-bizarrap-video-viral-trend-challenge,926
35,shakira-billing-failed-invoice-crying-@shakira-women-spend-#shakira-start,,,shakira-billing-failed-invoice-crying-@shakira-women-spend-#shakira-start,897
36,clara-shakira-cha-chia-song-mart-prettier-#shakira-woman-prowling,,,clara-shakira-cha-chia-song-mart-prettier-#shakira-woman-prowling,896
37,casio-shakira-#casio-song-#shakira-brand-@shakira-sale-@casioteam-market,,,casio-shakira-#casio-song-#shakira-brand-@shakira-sale-@casioteam-market,874
38,booed-piqu-#esland2023-esland-award-auditorium-mexico-clip-audience-pico,,,booed-piqu-#esland2023-esland-award-auditorium-mexico-clip-audience-pico,824
39,museum-grammy-exhibition-shakira-interact-march-angeles-career-items-display,,,museum-grammy-exhibition-shakira-interact-march-angeles-career-items-display,806
40,wolf-shakira-guys-uh-newbies-song-@shakira-#shakira-wolves-werewolf,,,wolf-shakira-guys-uh-newbies-song-@shakira-#shakira-wolves-werewolf,780
41,itchy-itch-scratch-eyes-nose-throat-ass-feel-hair-allergy,,,itchy-itch-scratch-eyes-nose-throat-ass-feel-hair-allergy,755
42,dick-dic-day-today-year-party-sleep-dead-sdds-morning,,,dick-dic-day-today-year-party-sleep-dead-sdds-morning,748
43,children-shakira-song-father-mother-worry-@elfakepost-people-parents-criticize,,,children-shakira-song-father-mother-worry-@elfakepost-people-parents-criticize,731
44,addicted-shakira-song-obsessed-music-listen-simply-complete-love-mds,,,addicted-shakira-song-obsessed-music-listen-simply-complete-love-mds,729
45,plagiarism-shakira-briella-song-accused-venezuelan-lawyer-singer-copy-sue,,,plagiarism-shakira-briella-song-accused-venezuelan-lawyer-singer-copy-sue,726
46,law-mother-shakira-video-neighbor-shut-face-left-#shakira-debt,,,law-mother-shakira-video-neighbor-shut-face-left-#shakira-debt,673
47,paquita-barrio-del-shakira-message-support-send-neighborhood-song-#shakira,,,paquita-barrio-del-shakira-message-support-send-neighborhood-song-#shakira,658
48,shakira-session-bzrp-music-#53-bizarrap-@youtube-#shakira-@bizarrap-version,,,shakira-session-bzrp-music-#53-bizarrap-@youtube-#shakira-@bizarrap-version,650
49,betrayed-shakira-guys-miley-courage-woman-cheated-bro-beyonc-man,,,betrayed-shakira-guys-miley-courage-woman-cheated-bro-beyonc-man,635
50,bunny-feid-boomin-clean-bizarrap-turizo-estreo-cyrus-metro-quevedo,,,bunny-feid-boomin-clean-bizarrap-turizo-estreo-cyrus-metro-quevedo,588
51,@casioteam-casio-reach-follow-send-shakira-casioamor-playmo-trivia-fastest,,,@casioteam-casio-reach-follow-send-shakira-casioamor-playmo-trivia-fastest,577
52,piqu-shakira-instagram-follow-insta-networks-block-market-stopped-unfollow,,,piqu-shakira-instagram-follow-insta-networks-block-market-stopped-unfollow,576
53,shakira-needed-beg-worst-champion-version-fault-criticize-understood-song,,,shakira-needed-beg-worst-champion-version-fault-criticize-understood-song,559
54,shakira-zema-mosca-fred-guim-fancam-taeyong-cezar-#nct127inbrazil-nct,,,shakira-zema-mosca-fred-guim-fancam-taeyong-cezar-#nct127inbrazil-nct,554
55,neighbor-shakira-song-play-listen-volume-session-time-day-singing,,,neighbor-shakira-song-play-listen-volume-session-time-day-singing,520
56,shakira-husband-love-boyfriend-called-instagram-girlfriend-@anak_rc-guys-thief,,,shakira-husband-love-boyfriend-called-instagram-girlfriend-@anak_rc-guys-thief,503
57,romance-fred-piqu-leal-djonga-wanted-goal-experience-relationship-@luixnttj,,,romance-fred-piqu-leal-djonga-wanted-goal-experience-relationship-@luixnttj,484
58,january-day-shakira-dedicated-song-meet-love-month-met-year,,,january-day-shakira-dedicated-song-meet-love-month-met-year,482
59,esse-piqu-nesse-sai-nest-aq-este-fake-@beymires-@dcuswift,,,esse-piqu-nesse-sai-nest-aq-este-fake-@beymires-@dcuswift,481
60,shakira-universe-colombia-#missuniverse2022-#missuniverse-venezuela-crown-song-win-mafe,,,shakira-universe-colombia-#missuniverse2022-#missuniverse-venezuela-crown-song-win-mafe,471
61,birthday-karol-piqu-shakira-song-release-february-joint-#karolg-gift,,,birthday-karol-piqu-shakira-song-release-february-joint-#karolg-gift,450
62,treasury-tax-shakira-debt-pay-evade-fraud-owe-evasion-song,,,treasury-tax-shakira-debt-pay-evade-fraud-owe-evasion-song,441
63,shakira-year-age-younger-older-young-woman-wrinkled-women-beautiful,,,shakira-year-age-younger-older-young-woman-wrinkled-women-beautiful,436
64,#amazon2022-ichiba-@chrisxxxarauz-rakuten-anuel-#2023-gray-amazon-alert-spoilers,,,#amazon2022-ichiba-@chrisxxxarauz-rakuten-anuel-#2023-gray-amazon-alert-spoilers,436
65,horns-shakira-monetize-song-money-music-miley-hor-fantastic-beyonc,,,horns-shakira-monetize-song-money-music-miley-hor-fantastic-beyonc,424
66,shakira-miley-year-song-start-babo-january-cyrus-piqu-#shakira,,,shakira-miley-year-song-start-babo-january-cyrus-piqu-#shakira,412
67,aquarius-shakira-aquarian-zodiac-piqu-aries-sign-astrology-moon-cancer,,,aquarius-shakira-aquarian-zodiac-piqu-aries-sign-astrology-moon-cancer,410
68,gelato-bag-tote-everyday-reservation-lucky-online-piqu-exclusive-contents,,,gelato-bag-tote-everyday-reservation-lucky-online-piqu-exclusive-contents,410
69,loan-#tv3newday-kabutey-lamptey-mubarak-muntaka-kumasi-#maxtv-samini-tariq,,,loan-#tv3newday-kabutey-lamptey-mubarak-muntaka-kumasi-#maxtv-samini-tariq,409
70,shakira-hurt-pain-song-grief-wounds-love-hahahaha-elbow-hahaha,,,shakira-hurt-pain-song-grief-wounds-love-hahahaha-elbow-hahaha,405
71,gym-brain-shakira-work-lot-bit-training-exercise-workout-trainer,,,gym-brain-shakira-work-lot-bit-training-exercise-workout-trainer,401
72,birthday-son-milan-piqu-shakira-truce-sasha-celebrate-gerard-eldest,,,birthday-son-milan-piqu-shakira-truce-sasha-celebrate-gerard-eldest,398
73,bzrp-session-music-shakira-@bizarrap-play-single-hey-@shakira-station,,,bzrp-session-music-shakira-@bizarrap-play-single-hey-@shakira-station,395
74,jam-jar-piqu-shakira-cheated-gerard-strawberry-discovered-allegedly-weknow,,,jam-jar-piqu-shakira-cheated-gerard-strawberry-discovered-allegedly-weknow,387
75,pickle-woke-today-kkkk-barbecue-brunoso-kkkkkk-clean-beach-good,,,pickle-woke-today-kkkk-barbecue-brunoso-kkkkkk-clean-beach-good,378
76,davies-tennis-federation-kosmos-cup-piqu-itf-gerard-lawsuit-company,,,davies-tennis-federation-kosmos-cup-piqu-itf-gerard-lawsuit-company,355
77,witch-law-balcony-shakira-house-mother-doll-mannequin-face-porch,,,witch-law-balcony-shakira-house-mother-doll-mannequin-face-porch,352
78,chew-swallow-shakira-mortify-song-listen-#shakira-mastic-@shakira-mastique,,,chew-swallow-shakira-mortify-song-listen-#shakira-mastic-@shakira-mastique,341
79,@bizarrap-single-shakira-music-session-@shakira-play-barp-pensive-infrance,,,@bizarrap-single-shakira-music-session-@shakira-play-barp-pensive-infrance,338
80,gelato-gelapique-bag-reservation-piqu-lucky-sale-year-online-popular,,,gelato-gelapique-bag-reservation-piqu-lucky-sale-year-online-popular,333
81,dreamt-shakira-dream-piqu-night-woke-ast-nightmare-today-song,,,dreamt-shakira-dream-piqu-night-woke-ast-nightmare-today-song,329
82,parody-derbez-rosaldo-alessandra-eugenio-shakira-song-morancos-bizarrap-comedian,,,parody-derbez-rosaldo-alessandra-eugenio-shakira-song-morancos-bizarrap-comedian,323
83,liar-beyonc-beautiful-shakira-performance-singing-dubai-support-bey-@beyonce,,,liar-beyonc-beautiful-shakira-performance-singing-dubai-support-bey-@beyonce,319
84,shakira-hair-blonde-curls-black-brunette-dye-dyed-natural-curly,,,shakira-hair-blonde-curls-black-brunette-dye-dyed-natural-curly,318
85,nano-snidel-lily-gelapique-rakuten-brown-universe-gelato-amazon-bag,,,nano-snidel-lily-gelapique-rakuten-brown-universe-gelato-amazon-bag,303
86,team-shakira-forever-#shakira-#teamshakira-@shakira-song-death-loka-love,,,team-shakira-forever-#shakira-#teamshakira-@shakira-song-death-loka-love,298
87,expensive-player-sucker-post-photo-straps-wrist-pain-design-ass,,,expensive-player-sucker-post-photo-straps-wrist-pain-design-ass,290
88,elf-@el_pepperoni_-hunks-jam-thought-shakira-leprechaun-elves-eat-intelligence,,,elf-@el_pepperoni_-hunks-jam-thought-shakira-leprechaun-elves-eat-intelligence,253
89,snoopy-gelato-#thewalkingdead-#twitterdown-#usagalles-#svleaks-#elite6-#eldenring-#thecrown-#saudiarabia,,,snoopy-gelato-#thewalkingdead-#twitterdown-#usagalles-#svleaks-#elite6-#eldenring-#thecrown-#saudiarabia,252
