Topic,Words,Frequency,Timestamp
0,"piqu, clara, gerard, photo, rip",1843,2023-01-12
1,"piqu, shakira, song, session, children",2435,2023-01-12
2,"stings, pick, , itchy, itch",164,2023-01-12
3,"shakira, song, cheated, people, thing",1537,2023-01-12
4,"shakira, queen, song, quee, @shakira",717,2023-01-12
5,"shakira, miley, song, cyrus, exes",36,2023-01-12
6,"women, shakira, money, @shakira, billing",870,2023-01-12
7,"shakira, song, listen, time, addicted",76,2023-01-12
8,"@shakira, shakira, #shakira, love, @bizarrap",411,2023-01-12
9,"shakira, song, love, listen, good",391,2023-01-12
10,"pike, cup, league, european, boutique",28,2023-01-12
11,"shakira, views, hours, session, song",72,2023-01-12
12,"shakira, #sinfoniascelestiales, #ricardoclaurepealoza, #35aosdehistoria, @ricardoclaurep",22,2023-01-12
13,"shakira, song, listen, bad, good",288,2023-01-12
14,"gelato, rakuten, piqu, #rakutenichiba, rba",11,2023-01-12
15,"shakira, session, sessio, listen, play",557,2023-01-12
16,"shakira, mom, song, listen, session",71,2023-01-12
17,"shakira, bzrp, session, bizarrap, song",622,2023-01-12
18,"shakira, jam, jelly, eat, strawberry",22,2023-01-12
19,"shakira, song, release, concert, album",111,2023-01-12
21,"piqu, twingo, casio, league, kings",58,2023-01-12
22,"twingo, shakira, ferrari, traded, renault",256,2023-01-12
23,"casio, rolex, shakira, watch, traded",76,2023-01-12
24,"casio, shakira, song, #casio, #shakira",72,2023-01-12
25,"shakira, session, listen, start, today",1,2023-01-12
26,"shakira, @youtube, reini, video, official",20,2023-01-12
27,"children, shakira, song, father, mother",101,2023-01-12
28,"paquita, shakira, barrio, neighborhood, del",22,2023-01-12
29,"karol, shakira, @karolg, arol, song",17,2023-01-12
30,"clara, shakira, chia, cha, song",62,2023-01-12
31,"booed, piqu, bac, pico, threw",3,2023-01-12
32,"wolf, shakira, guys, newbies, @shakira",90,2023-01-12
33,"law, mother, shakira, neighbor, debt",62,2023-01-12
34,"plagiarism, shakira, song, briella, accused",47,2023-01-12
35,"piqu, shakira, networks, social, imagine",1,2023-01-12
0,"piqu, clara, photo, gerard, children",773,2023-01-13
1,"piqu, shakira, song, children, clara",1336,2023-01-13
2,"stings, spike, stung, today, peak",155,2023-01-13
3,"shakira, song, people, cheated, women",944,2023-01-13
4,"shakira, song, queen, @shakira, session",251,2023-01-13
5,"miley, shakira, cyrus, song, flowers",269,2023-01-13
6,"shakira, women, money, billing, invoice",301,2023-01-13
7,"shakira, song, listen, head, neighbor",93,2023-01-13
8,"@shakira, #shakira, shakira, #shakiraxbizarrap, love",176,2023-01-13
9,"shakira, song, love, good, listen",167,2023-01-13
10,"pike, nightclub, barbecue, drink, silversmith",22,2023-01-13
